sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_bottom,adj_left,adj_right,of_video_length,no_video_length,intensity_floor,intensity_ceiling,area_floor,area_ceiling
20190611_1331_icab_icab_R,20190611,1331,R,1723,20000,20892,39458,30,0,5,5,10,18277,18566,0,155,80,200
20190611_1410_icab_kaga_R,20190611,1410,R,2380,21791,22584,42226,30,0,5,5,10,19411,19642,0,155,80,200
20190611_1454_icab_hni_R,20190611,1454,R,2815,21698,22351,40727,30,0,7,7,10,18883,18376,0,155,80,200
20190611_1552_icab_hni_R,20190611,1552,R,2640,21549,22163,40642,30,5,5,5,10,18909,18479,0,155,80,200
20190611_1628_icab_hdr_R,20190611,1628,R,2434,21290,22020,40267,30,0,5,8,5,18856,18247,0,155,80,200
20190611_1658_icab_ho5_R,20190611,1658,R,2225,20800,21401,39796,30,0,5,5,5,18575,18395,0,155,80,200
20190612_0952_icab_icab_R,20190612,952,R,2601,23092,24107,41996,30,0,0,5,10,20491,17889,0,155,80,200
20190612_1053_icab_kaga_R,20190612,1053,R,3002,21682,22355,40545,30,0,5,7,10,18680,18190,0,155,80,200
20190612_1123_icab_hni_R,20190612,1123,R,2594,21051,21654,39930,30,0,5,5,10,18457,18276,0,155,80,200
20190612_1236_icab_kaga_R,20190612,1236,R,2121,19971,20619,38998,30,0,0,5,10,17850,18379,0,155,80,200
20190612_1326_icab_kaga_R,20190612,1326,R,1725,20453,21048,39360,29,5,0,5,7,18728,18312,0,155,80,200
20190612_1355_icab_ho5_R,20190612,1355,R,2368,21361,21920,40195,30,5,10,7,10,18993,18275,0,155,80,200
20190612_1425_icab_kaga_R,20190612,1425,R,2209,20721,21259,39531,30,5,10,5,10,18512,18272,0,155,80,200
20190612_1501_icab_icab_R,20190612,1501,R,2070,20804,21405,39574,30,5,10,5,10,18734,18169,0,155,80,200
20190612_1534_icab_hdr_R,20190612,1534,R,2658,21201,21745,39985,30,0,10,5,10,18543,18240,0,155,80,200
20190612_1604_icab_hni_R,20190612,1604,R,2706,27060,27684,45931,30,5,10,7,7,24354,18247,0,155,80,200
20190612_1636_icab_icab_R,20190612,1636,R,2881,21757,22308,40571,30,5,10,7,10,18876,18263,0,155,80,200
20190612_1707_icab_hni_R,20190612,1707,R,2384,20837,21509,40450,30,0,10,5,10,18453,18941,0,155,80,200
20190613_0953_icab_hni_R,20190613,953,R,2753,21652,22202,40489,30,0,5,5,10,18899,18287,0,155,80,200
20190613_1024_icab_hni_R,20190613,1024,R,2889,22790,23304,42498,30,5,10,5,10,19901,19194,0,155,80,200
20190613_1054_icab_hdr_R,20190613,1054,R,3230,22423,22982,41119,30,5,10,5,10,19193,18137,0,155,80,200
20190613_1126_icab_hdr_R,20190613,1126,R,3046,21441,21989,40323,30,0,5,5,7,18395,18334,0,155,80,200
20190613_1307_icab_hdr_R,20190613,1307,R,3042,21853,22598,41098,30,0,0,5,10,18811,18500,0,155,80,200
20190613_1338_icab_ho5_R,20190613,1338,R,2723,21234,21718,40047,30,5,10,5,10,18511,18329,0,155,80,200
20190613_1420_icab_hni_R,20190613,1420,R,3197,21885,22438,40695,30,5,10,8,10,18688,18257,0,155,80,200
20190613_1511_icab_hdr_L,20190613,1511,L,2704,22762,23328,41624,30,5,10,5,7,20058,18296,0,155,80,200
20190613_1546_icab_hni_R,20190613,1546,R,2657,21932,22426,40898,30,5,10,8,10,19275,18472,0,155,80,200
20190613_1617_icab_ho5_L,20190613,1617,L,2698,21395,22131,40583,30,5,10,8,7,18697,18452,0,155,80,200
20190613_1648_icab_ho5_R,20190613,1648,R,2168,20955,21617,39861,30,5,10,5,10,18787,18244,0,155,80,200
20190614_1108_icab_ho5_L,20190614,1108,L,2456,20932,21546,40636,30,5,10,5,10,18476,19090,0,155,80,200
20190614_1139_icab_hni_R,20190614,1139,R,2420,21234,21718,40048,30,5,10,7,10,18814,18330,0,155,80,200
20190614_1208_icab_icab_L,20190614,1208,L,2287,21504,22060,40906,30,5,10,5,7,19217,18846,0,155,80,200
20190614_1237_icab_hdr_L,20190614,1237,L,1791,20467,21004,39501,30,5,10,5,10,18676,18497,0,155,80,200
20190614_1307_icab_hdr_R,20190614,1307,R,1681,20641,21631,39720,30,5,10,5,10,18960,18089,0,155,80,200
20190614_1335_icab_ho5_L,20190614,1335,L,2175,21140,21623,39983,30,5,10,5,10,18965,18360,0,155,80,200
20190614_1404_icab_ho5_L,20190614,1404,L,2723,21237,21782,40053,30,5,10,5,7,18514,18271,0,155,80,200
20190614_1430_icab_hdr_L,20190614,1430,L,2156,20594,21013,39630,30,5,10,5,10,18438,18617,0,155,80,200
20190614_1456_icab_ho5_R,20190614,1456,R,3187,21808,22370,41365,30,0,5,10,10,18621,18995,0,155,80,200
20190614_1524_icab_icab_R,20190614,1524,R,2793,21346,21904,41077,30,5,10,10,10,18553,19173,0,155,80,200
20190614_1553_icab_hni_L,20190614,1553,L,2407,20934,21745,39821,30,5,10,8,10,18527,18076,0,155,80,200
20190614_1619_icab_kaga_L,20190614,1619,L,2706,21027,21509,40700,30,5,10,5,10,18321,19191,0,155,80,200
20190614_1644_icab_hni_L,20190614,1644,L,2639,20931,21531,39702,30,5,12,0,5,18292,18171,0,155,80,200
20190615_1022_icab_ho5_L,20190615,1022,L,1970,20475,21251,39517,30,0,5,5,5,18505,18266,0,155,80,200
20190615_1051_icab_hdr_L,20190615,1051,L,2656,21802,22358,40886,30,5,10,5,10,19146,18528,0,155,80,200
20190615_1117_icab_kaga_L,20190615,1117,L,2231,21932,22551,41013,30,5,10,5,7,19701,18462,0,155,80,200
20190615_1145_icab_hni_R,20190615,1145,R,2165,20466,21146,40931,30,5,5,5,10,18301,19785,0,155,80,200
20190615_1210_icab_ho5_R,20190615,1210,R,2403,20906,21567,39769,30,0,5,5,10,18503,18202,0,155,80,200
20190615_1236_icab_hdr_R,20190615,1236,R,2251,21656,22082,40270,30,0,4,5,10,19405,18188,0,155,80,200
20190615_1305_icab_ho5_R,20190615,1305,R,2043,20843,21443,39762,30,0,4,5,10,18800,18319,0,155,80,200
20190615_1332_icab_icab_L,20190615,1332,L,1966,20433,21148,39436,30,5,10,5,5,18467,18288,0,155,80,200
20190615_1358_icab_icab_L,20190615,1358,L,1852,20551,21089,39548,30,5,10,0,3,18699,18459,0,155,80,200
20190615_1423_icab_icab_L,20190615,1423,L,2263,21344,21772,40486,30,5,10,5,10,19081,18714,0,155,80,200
20190615_1452_icab_hdr_L,20190615,1452,L,2189,20910,21517,40238,30,5,10,5,5,18721,18721,0,155,80,200
20190615_1518_icab_kaga_L,20190615,1518,L,2030,20730,21284,40721,30,5,10,5,10,18700,19437,0,155,80,200
20190615_1549_icab_hni_L,20190615,1549,L,1863,20486,21045,41095,30,5,10,5,10,18623,20050,0,155,80,200
20190615_1616_icab_hni_L,20190615,1616,L,2649,20946,21668,39845,30,5,10,5,7,18297,18177,0,155,80,200
20190615_1649_icab_icab_L,20190615,1649,L,2085,20550,21086,39432,30,5,13,5,7,18465,18346,0,155,80,200
20190615_1714_icab_icab_L,20190615,1714,L,1778,20147,20799,39227,30,5,10,5,6,18369,18428,0,155,80,200
20190616_0923_icab_icab_L,20190616,923,L,2625,20933,21543,40400,30,5,10,5,10,18308,18857,0,155,80,200
20190616_0948_icab_hdr_L,20190616,948,L,1772,20073,20723,39083,30,5,10,5,5,18301,18360,0,155,80,200
20190616_1017_icab_kaga_R,20190616,1017,R,1819,20118,20646,38828,30,0,0,5,10,18299,18182,0,155,80,200
20190616_1045_icab_icab_L,20190616,1045,L,2093,20504,20982,39572,30,5,10,5,10,18411,18590,0,155,80,200
20190616_1110_icab_icab_L,20190616,1110,L,1581,19959,20486,38746,30,5,10,5,10,18378,18260,0,155,80,200
20190616_1135_icab_kaga_R,20190616,1135,R,1874,20423,21088,40000,30,0,5,5,10,18549,18912,0,155,80,200
20190616_1210_icab_icab_R,20190616,1210,R,2108,20656,21379,39866,30,0,0,5,10,18548,18487,0,155,80,200
20190616_1227_icab_kaga_R,20190616,1227,R,2277,21089,21509,39661,30,0,0,5,10,18812,18152,0,155,80,200
20190616_1256_icab_kaga_L,20190616,1256,L,1737,20605,21383,39651,30,5,10,5,7,18868,18268,0,155,80,200
20190616_1325_icab_hni_R,20190616,1325,R,2144,20484,21139,39418,30,0,0,5,3,18340,18279,0,155,80,200
20190616_1351_icab_ho5_L,20190616,1351,L,2480,20819,21341,43203,30,5,10,5,5,18339,21862,0,155,80,200
20190616_1417_icab_hni_L,20190616,1417,L,1959,20299,20952,39292,30,5,10,5,5,18340,18340,0,155,80,200
20190616_1441_icab_hni_L,20190616,1441,L,2215,20647,21305,39617,30,5,10,0,5,18432,18312,0,155,80,200
20190616_1506_icab_hni_L,20190616,1506,L,1804,20624,21165,39803,30,5,10,0,5,18820,18638,0,155,80,200
20190616_1531_icab_hdr_L,20190616,1531,L,2421,21057,21662,40056,30,5,10,5,10,18636,18394,0,155,80,200
20190616_1556_icab_hdr_L,20190616,1556,L,2071,21015,21746,40323,30,5,10,5,0,18944,18577,0,155,80,200
20190616_1622_icab_ho5_L,20190616,1622,L,2286,20929,21531,39813,30,5,10,5,10,18643,18282,0,155,80,200
20190616_1651_icab_icab_L,20190616,1651,L,1980,21029,21647,40943,30,5,10,5,0,19049,19296,0,155,80,200
20190616_1717_icab_icab_L,20190616,1717,L,2509,20787,21265,39543,30,5,10,5,10,18278,18278,0,155,80,200
