sample,date,time,tank_side,of_start,of_end,no_start
20190611_1331_icab_icab_R,20190611,1331,R,1723,20000,20892
20190611_1410_icab_kaga_R,20190611,1410,R,2380,21791,22584
20190611_1454_icab_hni_R,20190611,1454,R,2815,21698,22351
20190611_1552_icab_hni_R,20190611,1552,R,2640,21549,22163
20190611_1628_icab_hdr_R,20190611,1628,R,2434,21290,22020
20190611_1658_icab_ho5_R,20190611,1658,R,2225,20800,21401
20190612_0952_icab_icab_R,20190612,952,R,2601,23092,24107
20190612_1053_icab_kaga_R,20190612,1053,R,3002,21682,22355
20190612_1123_icab_hni_R,20190612,1123,R,2594,21051,21654
20190612_1236_icab_kaga_R,20190612,1236,R,2121,19971,20619
20190612_1326_icab_kaga_R,20190612,1326,R,1725,20453,21048
20190612_1355_icab_ho5_R,20190612,1355,R,2368,21361,21920
20190612_1425_icab_kaga_R,20190612,1425,R,2209,20721,21259
20190612_1501_icab_icab_R,20190612,1501,R,2070,20804,21405
20190612_1534_icab_hdr_R,20190612,1534,R,2658,21201,21745
20190612_1604_icab_hni_R,20190612,1604,R,2706,27060,27684
20190612_1636_icab_icab_R,20190612,1636,R,2881,21757,22308
20190612_1707_icab_hni_R,20190612,1707,R,2384,20837,21509
20190613_0953_icab_hni_R,20190613,953,R,2753,21652,22202
20190613_1024_icab_hni_R,20190613,1024,R,2889,22790,23304
20190613_1054_icab_hdr_R,20190613,1054,R,3230,22423,22982
20190613_1126_icab_hdr_R,20190613,1126,R,3046,21441,21989
20190613_1156_icab_kaga_R,20190613,1156,R,2379,13132,13667
20190613_1307_icab_hdr_R,20190613,1307,R,3042,21853,22598
20190613_1338_icab_ho5_R,20190613,1338,R,2723,21234,21718
20190613_1420_icab_hni_R,20190613,1420,R,3197,21885,22438
20190613_1511_icab_hdr_L,20190613,1511,L,2704,22762,23328
20190613_1546_icab_hni_R,20190613,1546,R,2657,21932,22426
20190613_1617_icab_ho5_L,20190613,1617,L,2698,21395,22131
20190613_1648_icab_ho5_R,20190613,1648,R,2168,20955,21617
20190614_1108_icab_ho5_L,20190614,1108,L,2456,20932,21546
20190614_1139_icab_hni_R,20190614,1139,R,2420,21234,21718
20190614_1208_icab_icab_L,20190614,1208,L,2287,21504,22060
20190614_1237_icab_hdr_L,20190614,1237,L,1791,20467,21004
20190614_1307_icab_hdr_R,20190614,1307,R,1681,20641,21631
20190614_1335_icab_ho5_L,20190614,1335,L,2175,21140,21623
20190614_1404_icab_ho5_L,20190614,1404,L,2723,21237,21782
20190614_1430_icab_hdr_L,20190614,1430,L,2156,20594,21013
20190614_1456_icab_ho5_R,20190614,1456,R,3187,21808,22370
20190614_1524_icab_icab_R,20190614,1524,R,2793,21346,21904
20190614_1553_icab_hni_L,20190614,1553,L,2407,20934,21745
20190614_1619_icab_kaga_L,20190614,1619,L,2706,21027,21509
20190614_1644_icab_hni_L,20190614,1644,L,2639,20931,21531
20190615_1022_icab_ho5_L,20190615,1022,L,1970,20475,21251
20190615_1051_icab_hdr_L,20190615,1051,L,2656,21802,22358
20190615_1117_icab_kaga_L,20190615,1117,L,2231,21932,22551
20190615_1145_icab_hni_R,20190615,1145,R,2165,20466,21146
20190615_1210_icab_ho5_R,20190615,1210,R,2403,20906,21567
20190615_1236_icab_hdr_R,20190615,1236,R,2251,21656,22082
20190615_1305_icab_ho5_R,20190615,1305,R,2043,20843,21443
20190615_1332_icab_icab_L,20190615,1332,L,1966,20433,21148
20190615_1358_icab_icab_L,20190615,1358,L,1852,20551,21089
20190615_1423_icab_icab_L,20190615,1423,L,2263,21344,21772
20190615_1452_icab_hdr_L,20190615,1452,L,2189,20910,21517
20190615_1518_icab_kaga_L,20190615,1518,L,2030,20730,21284
20190615_1549_icab_hni_L,20190615,1549,L,1863,20486,21045
20190615_1616_icab_hni_L,20190615,1616,L,2649,20946,21668
20190615_1649_icab_icab_L,20190615,1649,L,2085,20550,21086
20190615_1714_icab_icab_L,20190615,1714,L,1778,20147,20799
20190616_0923_icab_icab_L,20190616,923,L,2625,20933,21543
20190616_0948_icab_hdr_L,20190616,948,L,1772,20073,20723
20190616_1017_icab_kaga_R,20190616,1017,R,1819,20118,20646
20190616_1045_icab_icab_L,20190616,1045,L,2093,20504,20982
20190616_1110_icab_icab_L,20190616,1110,L,1581,19959,20486
20190616_1135_icab_kaga_R,20190616,1135,R,1874,20423,21088
20190616_1210_icab_icab_R,20190616,1210,R,2108,20656,21379
20190616_1227_icab_kaga_R,20190616,1227,R,2277,21089,21509
20190616_1256_icab_kaga_L,20190616,1256,L,1737,20605,21383
20190616_1325_icab_hni_R,20190616,1325,R,2144,20484,21139
20190616_1351_icab_ho5_L,20190616,1351,L,2480,20819,21341
20190616_1417_icab_hni_L,20190616,1417,L,1959,20299,20952
20190616_1441_icab_hni_L,20190616,1441,L,2215,20647,21305
20190616_1506_icab_hni_L,20190616,1506,L,1804,20624,21165
20190616_1531_icab_hdr_L,20190616,1531,L,2421,21057,21662
20190616_1556_icab_hdr_L,20190616,1556,L,2071,21015,21746
20190616_1622_icab_ho5_L,20190616,1622,L,2286,20929,21531
20190616_1651_icab_icab_L,20190616,1651,L,1980,21029,21647
20190616_1717_icab_icab_L,20190616,1717,L,2509,20787,21265